name	genus	species	subspecies	type	population	tissue	sampled_age	pop_collect_date	collector		locality	plant_grower_tissue_collector	longitude	latitude	library_type	library_prep	library_who	library_number	restriction_enzyme	read_tech	sequence_format	quality_format	date_sequenced	sequencing_facility	read_length	barcodes	barcode_type_position	mate_pair_library	current_known_location	who_received_sequences	notes	known_alias	associated publication	sample_numbering	submitted_to_SRA
GSD1189	helianthus	petiolaris	GSD dune	wild	GSD1180	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1191	helianthus	petiolaris	GSD dune	wild	GSD1180	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1192	helianthus	petiolaris	GSD dune	wild	GSD1180	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1241	helianthus	petiolaris	GSD dune	wild	GSD1240	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1242	helianthus	petiolaris	GSD dune	wild	GSD1240	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1243	helianthus	petiolaris	GSD dune	wild	GSD1240	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1249	helianthus	petiolaris	GSD dune	wild	GSD1240	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1253	helianthus	petiolaris	GSD dune	wild	GSD1240	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1270	helianthus	petiolaris	GSD dune	wild	GSD1270	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1272	helianthus	petiolaris	GSD dune	wild	GSD1270	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1273bl.15	helianthus	petiolaris	GSD dune	wild	GSD1270	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1277	helianthus	petiolaris	GSD dune	wild	GSD1270	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1283	helianthus	petiolaris	GSD dune	wild	GSD1270	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1303	helianthus	petiolaris	GSD dune	wild	GSD1301	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1308	helianthus	petiolaris	GSD dune	wild	GSD1301	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1310	helianthus	petiolaris	GSD dune	wild	GSD1301	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1311	helianthus	petiolaris	GSD dune	wild	GSD1301	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1315	helianthus	petiolaris	GSD dune	wild	GSD1301	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1336	helianthus	petiolaris	GSD intermediate	wild	GSD1331	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1337	helianthus	petiolaris	GSD intermediate	wild	GSD1331	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1339	helianthus	petiolaris	GSD intermediate	wild	GSD1331	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1345	helianthus	petiolaris	GSD intermediate	wild	GSD1331	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1348	helianthus	petiolaris	GSD intermediate	wild	GSD1331	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1366	helianthus	petiolaris	GSD non-dune	wild	GSD1363	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1368	helianthus	petiolaris	GSD non-dune	wild	GSD1363	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1371	helianthus	petiolaris	GSD non-dune	wild	GSD1363	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1375	helianthus	petiolaris	GSD non-dune	wild	GSD1363	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1378	helianthus	petiolaris	GSD non-dune	wild	GSD1363	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1548	helianthus	petiolaris	GSD dune	wild	GSD1547	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1549	helianthus	petiolaris	GSD dune	wild	GSD1547	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1553	helianthus	petiolaris	GSD dune	wild	GSD1547	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1557	helianthus	petiolaris	GSD dune	wild	GSD1547	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1559	helianthus	petiolaris	GSD dune	wild	GSD1547	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1704	helianthus	petiolaris	GSD dune	wild	GSD1701	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1708	helianthus	petiolaris	GSD dune	wild	GSD1701	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1710	helianthus	petiolaris	GSD dune	wild	GSD1701	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1712	helianthus	petiolaris	GSD dune	wild	GSD1701	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1714	helianthus	petiolaris	GSD dune	wild	GSD1701	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1737	helianthus	petiolaris	GSD dune	wild	GSD1731	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1739	helianthus	petiolaris	GSD dune	wild	GSD1731	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1740	helianthus	petiolaris	GSD dune	wild	GSD1731	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1741	helianthus	petiolaris	GSD dune	wild	GSD1731	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1744	helianthus	petiolaris	GSD dune	wild	GSD1731	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1762	helianthus	petiolaris	GSD intermediate	wild	GSD1761	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1763	helianthus	petiolaris	GSD intermediate	wild	GSD1761	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1767	helianthus	petiolaris	GSD intermediate	wild	GSD1761	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1770	helianthus	petiolaris	GSD intermediate	wild	GSD1761	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1771	helianthus	petiolaris	GSD intermediate	wild	GSD1761	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1792	helianthus	petiolaris	GSD non-dune	wild	GSD1791	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1798	helianthus	petiolaris	GSD non-dune	wild	GSD1791	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1800	helianthus	petiolaris	GSD non-dune	wild	GSD1791	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1801	helianthus	petiolaris	GSD non-dune	wild	GSD1791	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD1804	helianthus	petiolaris	GSD non-dune	wild	GSD1791	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD2270	helianthus	petiolaris	GSD non-dune	wild	GSD2250	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD2271	helianthus	petiolaris	GSD non-dune	wild	GSD2250	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD2273	helianthus	petiolaris	GSD non-dune	wild	GSD2250	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD2274	helianthus	petiolaris	GSD non-dune	wild	GSD2250	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD2282	helianthus	petiolaris	GSD non-dune	wild	GSD2250	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD974	helianthus	petiolaris	GSD non-dune	wild	GSD970	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD976	helianthus	petiolaris	GSD non-dune	wild	GSD970	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD978	helianthus	petiolaris	GSD non-dune	wild	GSD970	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD980	helianthus	petiolaris	GSD non-dune	wild	GSD970	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
GSD984	helianthus	petiolaris	GSD non-dune	wild	GSD970	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnCo9	helianthus	annuus		wild	AnCo	leaves	adult	2007	Rose L Andrew		"Mosca, CO"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnIA	helianthus	annuus		wild	Harter and Gardner 2001-25	leaves	adult				"De Soto National Wildlife Refuge, IA"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnIL	helianthus	annuus		wild	PI 547167	leaves	adult				"Springfield, IL"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnKS	helianthus	annuus		wild		leaves	adult				"Colby, KA"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnMN	helianthus	annuus		wild		leaves	adult								DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnNM	helianthus	annuus		wild		leaves	adult				"Roswell, NM"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnOK	helianthus	annuus		wild	PI 468483	leaves	adult				"Sayre, OK"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnTN	helianthus	annuus		wild	PI 613752	leaves	adult				"Knoxville, TN"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnUTb	helianthus	annuus		wild		leaves	adult				"Trout Creek, UT"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
AnWY	helianthus	annuus		wild	PI 649806	leaves	adult				"Albin, WY"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
NcAZN6	helianthus	petiolaris	canescens	wild	PI 468791	leaves	adult				"Kayenta, AZ"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
NcNm5	helianthus	petiolaris	canescens	wild	PI 468787	leaves	adult				"Las Cruces, NM"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
P03	helianthus	petiolaris	GSD non-dune	wild	GSD2001	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
P04	helianthus	petiolaris	GSD non-dune	wild	GSD2001	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
P19	helianthus	petiolaris	GSD non-dune	wild	GSD2001	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
P32	helianthus	petiolaris	GSD non-dune	wild	GSD2001	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
P33	helianthus	petiolaris	GSD non-dune	wild	GSD2001	leaves	adult	9/1/2008	Rose L Andrew		"Great Sand Dunes, Colorado"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PfAZ9.2	helianthus	petiolaris	canescens	wild	PfAZ	leaves	adult	2007	Rose L Andrew		"Page, AZ"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PfTx	helianthus	petiolaris	fallax	wild	PI 435813	leaves	adult				"Dalhart, TX"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PfUTE27	helianthus	petiolaris	fallax	wild	PI 468820	leaves	adult				"Kanab, UT"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PfUTW21	helianthus	petiolaris	fallax	wild	PI 468815	leaves	adult				"Mexican Waters, UT"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PpCO14	helianthus	petiolaris	petiolaris	wild	PI 586923	leaves	adult				"Franktown, CO"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	55				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PpKa	helianthus	petiolaris	petiolaris	wild	PI 451978	leaves	adult				"Ellsworth County, KA"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PpND	helianthus	petiolaris	petiolaris	wild		leaves	adult				"Northwood, ND"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
PpNE	helianthus	petiolaris	petiolaris	wild	PI 586932	leaves	adult				"Thedford, NE"				DNA	PstI RAD	floragenex		Pst1	illumina				Floragenex	75				Rose Andrew's computer			PstI RAD seq. by Floragenex			
Des2463	helianthus	deserticola		wild	Ames27953	leaves/stem	seedling		Matt King		NV	Sebastien Renaut / Megan Stewart	39.018	-118.8	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
des1486	helianthus	deserticola		wild	PI468705	leaves/stem	seedling		Matt King		AZ	Sebastien Renaut / Megan Stewart	36.942	-111.43	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
desA2	helianthus	deserticola		wild	NA	leaves/stem	seedling		Matt King		NV	Sebastien Renaut / Megan Stewart	39.22	-118.7	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
DES1476	helianthus	deserticola		wild	PI468702	leaves/stem	seedling		Matt King		UT	Sebastien Renaut / Megan Stewart	37.198	-113.19	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
desc	helianthus	deserticola		wild	NA	leaves/stem	seedling		Matt King		NV	Sebastien Renaut / Megan Stewart	39.55	-118.86	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
Ano1506	helianthus	anomalus		wild	PI468642	leaves/stem	seedling		Matt King		UT	Sebastien Renaut / Megan Stewart	38.36666667	-110.7	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
GoblinValley	helianthus	anomalus		wild	Goblin Valley State Park	leaves/stem	seedling		Matt King		UT	Sebastien Renaut / Megan Stewart	38.582	-110.709	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
king1443	helianthus	paradoxus		wild	NA	leaves/stem	seedling		Matt King		NA	Sebastien Renaut / Megan Stewart	NA	NA	DNA	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
king159B	helianthus	paradoxus		wild	NA	leaves/stem	seedling		Matt King		NA	Sebastien Renaut / Megan Stewart	NA	NA	DNA	illumina	NAPS unit UBC + Ana Kuzmin			illumina			11/1/2012	UBC	2X100	no			silo@ /data/raid5part5/biodivHiSeq/121017_SN765_0159_AC0MFDACXX/Project_SebastienR/	Thuy Nguyen	These sequences have been uploaded on NCBI SRA (PRJNA188794)		3		Y
G109.13	helianthus	bolanderi		wild	G109	leaves/stem	seedling	8/28/2011	Greg Owens		California	Greg Owens	39.17832	-121.75977	cDNA non normalized	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina															
G109.12	helianthus	bolanderi		wild	G109	leaves/stem	seedling	8/28/2011	Greg Owens		California	Greg Owens	39.17832	-121.75977	cDNA non normalized	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina															
G110.2	helianthus	bolanderi		wild	G110	leaves/stem	seedling	8/28/2011	Greg Owens		California	Greg Owens	39.25156	-121.88924	cDNA non normalized	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina															
G110.3	helianthus	bolanderi		wild	G110	leaves/stem	seedling	8/28/2011	Greg Owens		California	Greg Owens	39.25156	-121.88924	cDNA non normalized	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina															
G111.12	helianthus	bolanderi		wild	G111	leaves/stem	seedling	8/28/2011	Greg Owens		California	Greg Owens	39.34395	-121.44869	cDNA non normalized	"cDNA non normalized, illumina kit"	NAPS unit UBC + Ana Kuzmin			illumina															
